ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,ip_proto
1767938720.641212,CArwXmB58Gpw3fRd,192.168.1.1,53843,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,147,0,0,,17
1767938721.969862,ClPlYb4yqeVq2dJM85,192.168.1.1,55423,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,4967,0,0,,17
1767938722.894039,CqlspA1qlQ941RoH89,192.168.1.1,34894,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,147,0,0,,17
1767938724.123349,CR2lpx3NdI73HG4hSl,192.168.1.1,56587,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,4963,0,0,,17
1767938725.041175,CQ6hJi2bxJtUyfkaY5,192.168.1.1,36219,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,147,0,0,,17
1767938726.273587,CZdQ3D3X2kE29gK1I9,192.168.1.1,36742,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,4963,0,0,,17
1767938727.194635,CZmT9W1HNNhJUQMVuf,192.168.1.1,49945,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,147,0,0,,17
1767938728.423939,Cig19e1KDFl0V9HJEj,192.168.1.1,47805,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,4959,0,0,,17
1767938729.345061,C0gNZ61RCyPnvHbmY7,192.168.1.1,47236,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,147,0,0,,17
1767938766.353269,CAhgMJ1Qq7atNDZ05k,192.168.1.41,59656,192.168.1.39,8384,tcp,http,18.463964,798,1355,SF,T,T,0,ShADadfF,6,1118,5,1623,,6
1767938766.353311,CIGSqF3v1z82mr5mCh,192.168.1.41,59664,192.168.1.39,8384,tcp,http,18.464252,796,929,SF,T,T,0,ShADadfF,6,1116,5,1197,,6
1767938766.353334,C4Ctpl3ZSfquIfu5M5,192.168.1.41,59680,192.168.1.39,8384,tcp,http,18.464283,792,454,SF,T,T,0,ShADadfF,6,1112,5,722,,6
1767938703.074202,CCEnkT17G382UNpjRl,192.168.1.41,43170,192.168.1.39,8384,tcp,http,81.948431,2381,4562,SF,T,T,0,ShADadfF,16,3221,14,5298,,6
1767938730.677009,CimoVHOqAqw4ur8s,192.168.1.1,56992,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,4957,0,0,,17
1767938671.283873,CDxTcs1c0k5LA57fEg,0.0.0.0,0,224.0.0.1,0,unknown_transport,,59.904640,0,0,OTH,T,T,0,,3,104,0,0,,2
1767938671.383303,CfDMBK3xPNBNcVsMzi,fe80::6420:e3ff:fe93:5ffe,130,ff02::1,131,icmp,,59.907517,40,0,OTH,T,F,0,,2,152,0,0,,58
1767938671.684471,CgCqjt2exkIhMh7ld3,fe80::dea6:32ff:fee1:7e28,143,ff02::16,0,icmp,,59.716029,180,0,OTH,T,F,0,,5,460,0,0,,58
1767938731.598127,CJzPZ9bTAVvCxKb1f,192.168.1.1,54085,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,147,0,0,,17
1767938732.827377,C8bcoysmRQTVJwaJ,192.168.1.1,57000,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,4957,0,0,,17
1767938733.748435,CIloJ21bcXMA7OiD1i,192.168.1.1,50263,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,147,0,0,,17
1767938734.974687,CthDAR2QaZxbUjNWBd,192.168.1.1,43420,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,4956,0,0,,17
1767938735.898700,C6Qv1Hy5kqwg1kRje,192.168.1.1,48826,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,147,0,0,,17
1767938737.230441,CdWMJg0VW6Zh3gYOk,192.168.1.1,38274,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,4960,0,0,,17
1767938738.049106,CpvohK2UKHOLL5jN2b,192.168.1.1,36877,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,147,0,0,,17
1767938739.380823,Cmpu0U2qvTgEzhkc2h,192.168.1.1,39764,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,4958,0,0,,17
1767938740.302162,CWawN74aOY9uNzRV1d,192.168.1.1,58346,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,147,0,0,,17
1767938741.531462,CW3EZZ12Exb9RYDm7a,192.168.1.1,48771,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,4958,0,0,,17
1767938742.452455,Cp4KcZ1q1M6GJhUkn1,192.168.1.1,34523,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,147,0,0,,17
1767938743.784044,CcvhFxFODTNt3OAqf,192.168.1.1,54346,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,4960,0,0,,17
1767938744.705138,Cg5psl3PSAnZ4haCih,192.168.1.1,48058,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,147,0,0,,17
1767938745.934463,CTvoB13HnHOE5K6Z69,192.168.1.1,39448,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,4960,0,0,,17
1767938746.855631,Cyk7ND1dq7P9W1tMDb,192.168.1.1,39952,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,147,0,0,,17
1767938748.089817,CBkTsS2adpOsALAFLi,192.168.1.1,60684,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,4204,0,0,,17
1767938803.613541,CyHYCt45GAfQsp6n6j,192.168.1.40,41750,192.168.1.39,22,tcp,,0.024748,0,33,SF,T,T,0,ShAFadfRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRR,245,9868,4,249,,6
1767938749.003121,CE7qhCZYOLfqKqqmd,192.168.1.1,41041,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,147,0,0,,17
1767938804.624467,C15kLi1vJ5g4INNy11,192.168.1.40,58934,192.168.1.39,80,tcp,,0.000088,0,0,REJ,T,T,0,Sr,1,60,1,40,,6
1767938750.240219,CnUzMs2oCuBBljKnzl,192.168.1.1,40435,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,4199,0,0,,17
1767938805.635443,CO8ANg1DRASNKTNZ1f,192.168.1.40,40044,192.168.1.39,443,tcp,,0.000059,0,0,REJ,T,T,0,Sr,1,60,1,40,,6
1767938751.258991,CjFy4Z28Z4kEzKzoL3,192.168.1.1,53488,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,147,0,0,,17
1767938752.390649,C3Rz3h2ZPhTm5w74M3,192.168.1.1,48710,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,4203,0,0,,17
1767938753.409435,CYwJsh4PqNrLZpbdLi,192.168.1.1,56905,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,147,0,0,,17
1767938754.541046,CyFOjh2RdK8AXAj03g,192.168.1.1,40935,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,4198,0,0,,17
